Note: The following shows the ratings of three different participants in the same questionnaire.

Questionnaire ID	Colors	Shapes	Materials	Textures	Categories	Appearances	Actions	Biological States	Emotional States	Overall Emotions	Quantities	Interaction Relationships	Spatial Relationships	Positions in the figure	Layouts	Occlusion Relationships	Density Relationships	Environments	Relative Proportions	Styles	Lighting	Photographic Compositions
1422	3	3	3	3	3	4	3	3	3	3	5	4	4	3	4	3	4	2	3	2	3	3
1422	4	4	4	4	5	3	4	3	3	3	4	4	3	3	3	3	3	3	3	4	3	3
1423	2	3	3	3	4	4	5	3	3	3	4	4	4	3	4	3	3	3	3	2	3	3
1423	3	4	4	4	4	3	4	3	3	3	4	4	3	3	3	4	3	3	3	4	3	3
1423	3	3	3	3	4	3	4	3	3	3	4	4	4	3	3	3	3	3	3	4	3	3
1424	3	4	4	4	4	3	4	3	3	3	3	2	2	3	3	2	3	3	3	5	3	3
1424	3	3	3	3	4	4	3	3	3	3	4	4	4	3	3	3	3	3	3	4	3	3
1424	5	2	4	5	5	3	4	3	3	3	5	4	1	3	1	4	3	3	4	4	3	3
1425	3	4	4	4	4	3	4	4	3	3	4	4	4	3	3	3	3	3	3	4	3	3
1425	4	5	5	5	5	4	4	3	3	3	5	3	3	4	5	4	3	3	4	5	5	5
1425	4	4	4	4	4	5	5	4	4	5	5	4	5	5	5	4	4	3	5	4	4	3
1426	4	4	4	4	5	4	5	3	3	3	5	5	3	4	5	5	5	3	4	5	5	4
1426	4	4	4	4	4	4	5	4	4	5	5	5	5	4	5	4	5	4	4	4	5	4
1426	4	4	4	4	4	4	4	3	4	3	4	4	3	3	4	4	4	4	4	2	4	3
1427	4	3	5	5	5	4	5	3	3	3	4	5	5	4	4	5	3	3	4	4	3	3
1427	4	4	3	3	4	3	4	4	4	3	4	4	3	3	4	3	3	4	4	2	4	4
1427	3	3	4	4	4	4	4	4	4	4	4	3	4	4	4	4	3	3	4	4	3	3
1428	4	3	4	4	4	3	4	4	4	3	4	3	3	3	3	3	3	4	4	3	4	4
1428	4	4	4	4	4	3	4	3	4	3	4	3	3	4	3	3	3	3	4	4	3	3
1428	4	4	4	4	4	4	4	4	3	3	4	3	3	3	4	3	3	3	4	4	3	3
1429	4	4	4	4	4	4	4	4	4	3	4	4	4	3	4	3	3	3	2	4	3	3
1429	4	4	4	4	4	4	4	4	3	3	4	3	4	3	4	4	3	3	2	4	3	3
1429	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1430	4	4	4	4	4	4	4	3	3	3	4	3	3	3	3	3	3	3	4	4	3	3
1430	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1430	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	3
1431	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1431	4	4	4	4	4	4	4	4	3	4	5	4	4	3	4	4	3	3	4	2	3	3
1431	3	4	3	4	3	3	4	5	3	4	4	4	3	3	4	3	4	3	3	3	4	4
1432	3	4	4	4	4	4	4	3	3	3	4	4	4	4	4	4	3	4	3	4	3	3
1432	3	4	4	4	4	4	4	4	4	3	4	4	3	2	3	4	3	3	4	2	3	4
1432	3	3	3	4	4	4	4	4	3	3	4	4	4	4	4	4	3	4	3	2	3	3
1433	4	4	4	4	4	3	4	3	4	3	4	5	4	3	4	4	4	3	3	4	4	3
1433	3	3	3	3	4	4	4	3	3	3	5	4	4	3	4	3	3	3	3	2	3	4
1433	4	4	4	5	5	4	5	5	4	4	5	2	4	4	4	4	4	4	4	2	3	4
1434	3	3	4	3	4	4	4	4	3	3	4	4	4	4	4	3	3	4	3	3	3	2
1434	4	5	5	4	5	4	5	5	4	4	5	2	4	4	4	3	4	4	4	2	4	4
1434	4	5	5	5	5	4	5	4	4	3	5	4	4	4	4	4	4	4	4	4	4	4
1435	5	5	5	5	5	5	5	5	4	4	5	2	4	4	4	4	4	4	4	2	4	4
1435	5	5	5	4	5	4	5	4	4	4	5	5	4	3	4	5	4	4	4	4	4	4
1435	5	4	4	4	5	4	5	5	4	4	5	4	4	4	4	2	4	4	4	4	4	4
1436	4	3	4	2	2	2	4	4	3	3	2	3	4	3	3	4	4	4	4	4	4	4
1436	4	2	2	2	2	3	4	4	3	4	2	4	4	4	4	2	4	4	4	4	4	4
1436	4	4	4	4	1	3	4	3	3	3	1	2	2	4	3	3	4	3	2	4	3	4
1437	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	5	5	4	5
1437	4	5	5	5	5	4	4	4	3	3	5	2	3	4	4	4	4	3	4	4	4	4
1437	4	4	4	4	4	4	5	5	4	3	4	3	3	3	3	3	3	4	3	4	3	3
1438	4	5	5	5	5	4	4	3	3	3	5	1	1	1	1	2	3	4	2	4	3	4
1438	4	4	3	2	4	3	2	4	3	4	4	1	1	3	3	3	4	4	4	4	4	4
1438	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	3	4	3	4	4	4	4
1439	4	4	4	4	4	4	5	5	3	4	5	4	3	3	3	3	4	4	4	4	4	3
1439	4	4	5	4	4	4	5	4	4	5	5	4	4	4	5	4	4	4	4	4	4	4
1439	4	4	4	3	4	4	1	4	4	4	4	3	4	4	4	4	2	3	4	2	4	4
1440	4	4	4	4	4	4	2	4	4	5	4	4	2	2	3	3	4	5	4	4	4	4
1440	4	3	3	3	4	4	1	2	2	3	4	2	2	2	2	2	4	3	4	2	4	4
1440	4	4	4	4	4	4	2	4	3	3	5	1	4	3	3	2	2	4	4	4	3	3
1441	3	4	4	4	1	3	2	3	4	4	4	4	4	4	4	4	3	4	4	2	4	4
1441	5	4	4	4	4	4	4	4	3	3	5	4	3	3	3	3	3	4	2	4	3	3
1441	4	4	4	4	5	3	4	3	3	3	5	4	3	3	4	3	3	4	3	3	4	3
1442	5	5	5	5	5	5	4	4	3	3	4	4	3	3	4	3	5	4	5	4	3	3
1442	4	4	5	4	5	3	4	3	3	3	5	4	3	3	3	3	3	3	3	4	3	3
1442	5	5	5	5	5	4	5	5	3	4	5	5	5	4	4	4	3	4	4	5	4	4
1443	4	4	5	4	5	4	5	4	3	4	5	4	4	3	3	3	3	3	3	4	4	3
1443	5	5	5	4	5	3	5	2	4	4	5	5	5	5	5	5	5	5	5	5	4	4
1443	5	5	5	5	5	5	5	5	5	4	5	5	5	4	5	4	4	5	4	4	4	4
1444	3	4	4	4	5	3	1	3	4	4	5	1	1	3	1	3	4	3	4	1	3	3
1444	4	4	4	4	4	4	1	4	4	4	4	2	2	2	4	4	4	4	4	4	4	4
1444	4	4	4	4	4	4	4	4	3	3	4	4	3	3	4	4	4	4	4	4	4	4
1445	5	5	5	5	5	5	5	5	5	4	5	5	4	4	5	5	5	5	5	4	4	4
1445	4	4	4	2	4	4	4	4	4	3	4	4	3	2	3	4	4	4	2	4	4	4
1445	4	4	4	4	5	4	4	3	3	3	4	4	4	3	3	3	3	5	3	5	3	3
1446	4	4	4	4	4	5	1	4	4	4	5	3	3	3	3	4	3	3	3	4	4	4
1446	3	4	4	3	4	3	5	5	5	4	5	3	3	3	3	3	3	3	3	5	3	3
1446	4	2	4	4	4	2	5	5	4	4	4	4	2	2	4	2	4	5	2	2	4	3
1447	4	4	5	5	4	3	4	3	5	4	3	4	3	3	3	3	3	3	3	5	3	3
1447	4	4	4	3	4	4	4	4	5	4	4	4	2	3	3	4	4	5	4	4	4	4
1447	4	4	4	3	4	4	4	4	4	4	4	4	3	3	4	3	3	4	4	4	3	3
1448	4	2	4	4	5	5	4	4	3	3	4	4	4	2	4	4	4	3	5	4	4	4
1448	4	4	4	4	4	4	4	3	3	3	4	4	4	3	4	4	4	3	4	4	3	3
1448	5	4	4	4	5	4	4	4	3	3	5	4	4	4	4	4	3	3	4	4	3	4
1449	3	4	4	4	4	4	4	4	3	3	4	4	4	3	4	4	4	3	4	4	3	3
1449	4	4	4	4	5	4	4	4	3	3	5	5	4	4	1	4	4	4	2	4	4	4
1449	4	4	4	2	4	4	5	5	4	4	5	4	2	2	2	2	4	4	4	2	4	4
1450	5	5	5	4	5	4	4	4	3	3	5	4	4	4	4	4	4	4	4	5	4	4
1450	4	4	4	2	4	4	4	4	4	4	5	5	5	5	4	4	4	4	4	2	4	4
1450	4	4	4	2	4	3	5	3	3	3	5	5	5	3	3	3	5	3	5	5	3	3
1451	4	5	4	2	4	4	4	4	4	4	4	5	4	3	4	4	4	4	4	2	3	4
1451	5	4	5	5	5	4	5	3	3	3	5	4	3	3	3	3	3	3	4	5	3	3
1451	5	5	4	3	4	4	4	4	3	3	4	4	3	4	4	3	3	3	3	4	3	3
1452	4	4	4	4	5	5	5	3	3	3	5	4	5	3	3	5	3	3	5	5	3	3
1452	5	3	3	3	4	4	5	4	4	3	5	4	3	4	3	3	3	3	4	4	3	3
1452	4	3	3	4	4	4	4	4	3	3	5	5	3	3	3	4	3	3	4	3	3	3
1453	4	3	3	2	5	3	4	4	4	3	5	4	3	3	4	3	4	2	4	4	4	3
1453	3	4	4	3	4	4	2	2	3	3	4	4	3	3	3	3	3	3	4	2	3	3
1453	4	4	4	4	4	3	2	3	3	4	4	2	3	3	3	3	3	3	4	3	3	3
1454	3	3	4	3	4	4	2	3	3	3	3	3	4	3	3	3	3	3	1	1	3	3
1454	4	4	4	4	4	3	2	4	3	3	3	2	3	3	3	3	3	3	2	3	3	3
1454	3	4	5	4	5	4	4	4	4	4	3	4	4	3	3	4	3	3	2	1	4	3
1455	4	4	4	4	4	4	4	3	3	3	3	4	4	3	3	3	3	3	4	3	3	3
1455	3	4	4	4	4	4	5	4	4	4	4	5	4	4	3	4	4	3	4	4	3	4
1455	5	4	4	4	4	4	4	4	3	3	5	5	3	4	5	5	4	3	4	4	4	4
1456	4	5	5	5	5	4	4	3	4	4	5	3	5	4	4	3	4	3	4	4	4	4
1456	5	5	5	5	5	5	5	5	3	3	5	5	3	5	5	4	4	5	4	4	4	4
1456	4	5	4	4	5	4	5	3	3	3	5	4	4	4	4	3	3	3	4	4	3	3
1457	4	4	4	3	4	4	5	3	3	3	4	4	3	4	4	4	4	4	4	4	3	5
1457	4	4	4	4	5	4	4	3	3	3	4	4	4	3	3	4	4	4	4	4	4	4
1457	4	4	4	4	4	4	4	3	3	3	5	4	3	4	4	4	4	4	4	4	4	4
1458	4	4	4	4	5	4	5	4	3	3	4	4	4	3	3	3	3	3	4	4	3	3
1458	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	4	3	3
1458	5	5	5	4	5	5	5	3	3	3	5	5	5	3	5	5	5	4	4	1	4	4
1459	4	4	4	4	4	4	3	3	3	3	5	2	4	3	2	4	4	4	1	2	3	3
1459	4	4	4	4	2	4	2	4	3	3	4	4	3	4	4	4	4	5	1	1	4	4
1459	3	5	3	3	3	3	2	1	1	3	3	1	3	3	3	3	3	4	5	1	3	3
1460	5	4	4	3	4	2	2	2	3	3	2	1	1	3	3	2	3	3	1	1	2	3
1460	5	5	4	3	2	1	4	3	3	3	4	2	3	3	3	3	3	5	3	4	4	3
1460	5	5	4	4	5	5	5	5	3	3	1	5	4	5	4	4	3	3	3	2	3	4
1461	5	4	4	4	4	4	5	5	3	3	5	1	2	3	3	1	4	3	3	4	4	3
1461	4	5	5	5	5	5	5	5	3	3	5	4	5	3	4	3	4	3	3	3	4	3
1461	3	4	4	4	5	4	4	5	4	4	5	3	4	4	4	3	4	4	4	4	4	4
1462	4	4	4	4	5	4	4	3	3	3	5	4	1	1	1	1	4	3	4	3	3	2
1462	3	3	3	3	5	3	4	4	3	3	4	4	4	3	4	4	4	4	4	4	3	4
1462	3	4	4	4	4	3	4	4	3	3	4	4	2	2	2	2	4	4	4	3	4	3
1463	4	4	4	4	4	3	4	4	3	3	4	3	3	4	4	4	4	3	4	3	3	4
1463	4	4	4	4	3	4	4	4	3	3	4	4	4	3	4	4	4	4	4	4	3	4
1463	4	4	4	4	4	3	5	4	4	3	5	4	4	4	4	4	4	3	4	4	4	4
1464	3	4	4	4	4	4	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4
1464	4	4	4	4	5	4	5	3	4	4	5	4	4	4	4	4	3	4	3	4	4	4
1464	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4
1465	4	4	4	4	5	4	5	4	4	4	5	4	3	3	4	4	3	4	4	4	3	4
1465	3	4	4	4	4	4	2	4	4	4	4	4	2	2	2	4	4	4	4	4	4	4
1465	4	4	4	4	5	4	2	4	4	4	5	2	3	4	4	4	4	4	4	4	5	4
1466	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1466	1	1	5	4	4	4	5	4	4	4	2	4	4	2	2	4	4	4	2	4	4	4
1466	2	4	4	4	4	2	4	4	4	5	5	5	3	4	2	4	4	3	2	2	4	3
1467	4	4	4	4	4	4	4	5	5	5	1	4	4	4	4	4	4	4	5	4	4	5
1467	2	4	4	4	4	4	4	4	4	5	1	5	4	4	4	4	4	5	3	3	5	5
1467	4	3	4	4	4	4	4	4	3	3	1	4	3	3	3	3	3	4	4	4	3	4
1468	1	4	4	4	4	4	2	4	4	4	1	2	4	4	3	3	4	2	4	1	2	2
1468	4	4	4	4	4	4	2	3	3	3	1	2	2	2	2	2	3	3	4	3	3	3
1468	4	4	4	4	4	4	4	4	3	3	1	1	1	3	2	2	3	3	4	3	4	4
1469	4	4	4	4	4	3	2	3	3	3	4	4	2	2	2	3	3	4	4	4	3	3
1469	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	4	4	4	2	4	4
1469	4	5	5	5	5	5	5	3	3	3	5	5	5	3	5	4	3	4	4	4	4	3
1470	4	4	4	4	4	3	4	2	4	3	4	4	4	4	5	4	4	4	4	4	4	4
1470	4	5	5	5	4	4	5	3	3	4	5	4	4	3	3	4	3	3	2	4	4	3
1470	4	2	2	2	4	4	4	4	3	3	4	4	3	4	4	4	4	3	4	4	3	3
1471	5	5	5	5	5	3	5	4	4	4	4	4	4	4	3	4	3	4	4	4	4	4
1471	4	4	4	4	4	4	4	4	3	3	5	4	3	4	4	4	4	5	4	4	4	5
1471	5	3	5	5	5	4	5	3	3	3	4	4	3	3	5	5	4	3	5	5	3	5
1472	4	4	4	4	4	4	4	4	5	4	4	4	3	3	3	4	4	4	4	4	4	3
1472	5	5	5	5	5	4	4	4	5	4	3	5	3	5	5	5	4	5	3	4	3	5
1472	3	3	3	3	5	4	3	4	5	5	5	4	3	3	3	3	3	3	4	3	3	4
1473	3	5	5	5	5	4	4	3	2	3	4	4	5	3	4	5	3	3	4	5	3	3
1473	3	4	5	5	5	4	4	4	4	4	4	5	5	4	5	4	4	3	4	3	3	4
1473	3	3	4	3	5	5	4	4	4	4	5	5	2	3	2	2	3	3	3	4	3	3
1474	5	5	5	5	5	4	5	4	3	3	3	4	5	3	5	4	4	5	4	3	3	4
1474	3	3	3	3	5	3	4	4	3	3	3	5	4	3	3	4	3	4	3	5	3	5
1474	3	3	3	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3
1475	3	3	3	3	4	4	2	3	3	3	4	4	3	3	3	3	3	3	4	5	3	3
1475	3	3	3	3	4	4	4	4	3	3	5	4	3	3	3	3	3	3	3	4	3	3
1475	4	5	5	5	5	5	1	4	5	5	5	1	5	5	5	5	5	5	5	5	5	5
1476	4	4	4	3	4	4	3	3	3	3	3	3	3	3	3	3	4	3	4	5	4	3
1476	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1476	4	2	4	4	3	5	5	3	4	4	2	5	2	2	3	3	4	4	3	4	4	4
1477	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5
1477	3	2	5	4	4	5	5	4	4	5	5	4	4	2	4	4	3	4	4	4	4	4
1477	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	1	4	4	4	4	4
1478	5	4	4	5	5	5	2	4	3	3	4	4	2	2	3	4	4	4	5	4	4	5
1478	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4
1478	3	4	4	4	3	4	4	1	1	3	2	3	3	2	4	2	2	2	3	4	2	2
1479	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1479	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	3	3	4	4	1	2	2
1479	4	4	4	4	4	5	4	4	4	4	4	5	4	3	3	3	3	4	4	4	3	3
