Note: The following shows the ranking results given by three different participants on the same questionnaire.								
								
Questionnaire ID	SD3.5	FLUX PRO 1.1	DMD2	REAL IMAGES				
995	3	2	4	1				
996	3	4	2	1				
996	3	1	2	4				
996	4	1	3	2				
997	2	1	3	4				
997	1	2	3	4				
997	1	2	4	3				
998	3	1	4	2				
998	4	1	2	3				
998	4	1	2	3				
999	3	4	2	1				
999	2	4	1	3				
999	3	4	1	2				
1000	2	1	4	3				
1000	3	2	1	4				
1000	1	2	4	3				
1001	4	1	3	2				
1001	4	2	3	1				
1001	3	1	4	2				
1002	3	2	4	1				
1002	3	2	4	1				
1002	3	2	4	1				
1003	4	1	2	3				
1003	4	2	1	3				
1003	4	1	3	2				
1004	1	3	4	2				
1004	3	2	4	1				
1004	1	2	4	3				
1005	1	2	3	4				
1005	1	2	3	4				
1005	1	3	2	4				
1006	2	1	3	4				
1006	3	1	4	2				
1006	3	1	4	2				
1007	3	4	1	2				
1007	3	2	1	4				
1007	4	2	1	3				
1008	2	4	1	3				
1008	3	2	1	4				
1008	1	2	4	3				
1009	4	3	2	1				
1009	2	3	1	4				
1009	2	3	4	1				
1010	4	1	3	2				
1010	4	1	2	3				
1010	4	1	3	2				
1011	3	2	1	4				
1011	3	2	1	4				
1011	4	1	3	2				
1012	2	3	1	4				
1012	3	1	2	4				
1012	2	1	3	4				
1013	3	2	4	1				
1013	1	4	3	2				
1013	1	3	4	2				
1014	1	4	2	3				
1014	4	1	3	2				
1014	2	4	3	1				
1015	3	1	2	4				
1015	4	2	1	3				
1015	4	1	2	3				
1016	3	4	2	1				
1016	4	1	2	3				
1016	4	1	3	2				
1017	4	3	2	1				
1017	2	3	1	4				
1017	4	3	2	1				
1018	1	4	3	2				
1018	4	1	3	2				
1018	2	3	4	1				
1019	1	4	2	3				
1019	1	4	2	3				
1019	4	3	2	1				
1020	1	3	2	4				
1020	4	1	3	2				
1020	4	1	2	3				
1021	3	4	1	2				
1021	4	1	3	2				
1021	4	1	3	2				
1022	2	1	4	3				
1022	2	4	1	3				
1022	1	2	4	3				
1023	4	2	1	3				
1023	3	2	1	4				
1023	3	2	1	4				
1024	3	2	4	1				
1024	4	2	3	1				
1024	4	1	3	2				
1025	3	2	1	4				
1025	2	3	1	4				
1025	1	3	2	4				
1026	3	2	4	1				
1026	2	1	3	4				
1026	3	1	4	2				
1027	2	3	1	4				
1027	1	2	3	4				
1027	1	2	4	3				
1028	3	2	1	4				
1028	2	1	3	4				
1028	2	1	3	4				
1029	2	1	3	4				
1029	2	3	4	1				
1029	4	2	3	1				
1030	4	2	3	1				
1030	1	2	4	3				
1030	4	2	3	1				
1031	2	1	4	3				
1031	4	3	2	1				
1031	2	1	4	3				
1032	4	1	3	2				
1032	2	3	4	1				
1032	4	2	3	1				
1033	4	1	3	2				
1033	3	2	1	4				
1033	1	3	4	2				
1034	2	3	4	1				
1034	3	4	1	2				
1034	4	3	2	1				
1035	4	1	2	3				
1035	3	1	2	4				
1035	2	1	3	4				
1036	1	4	2	3				
1036	2	4	1	3				
1036	2	4	1	3				
1037	2	4	1	3				
1037	2	4	1	3				
1037	3	4	1	2				
1038	2	1	3	4				
1038	4	1	2	3				
1038	3	4	2	1				
1039	3	2	1	4				
1039	1	4	3	2				
1039	1	4	3	2				
1040	3	2	1	4				
1040	1	2	3	4				
1040	4	1	3	2				
